,0,1,2,3,
11,공짜 좋아하는 거지새끼들은 어딜 가도 있구나 ㅋㅋ,1,"['공짜', '좋아하', '는', '거지', '새끼', '들', '은', '어디', 'ᆯ', '가', '어도', '있', '구나', 'ㅋㅋ']","거지,새끼,거지새끼,",
12,저 색희 출소하면 죽이러 갈 파티원 구합니다,1,"['저', '색희', '출소', '하', '면', '죽이', '러', '가', 'ᆯ', '파티', '원', '구하', 'ᆸ니다']","색희,죽이,러,",
13,꼭 내손으로 죽이게 해줘라,1,"['꼭', '나', '의', '손', '으로', '죽이', '게', '하', '어', '주', '어라']","죽이,게,",
14,목따서 한번 죽이고 배갈라서 두번 죽여도 되나요?,1,"['목', '따', '어서', '한', '번', '죽이', '고', '배', '가르', '어서', '두', '번', '죽이', '어도', '되', '나요', '?']","목,따,죽이,고,배,가르,어서,",
15,어쩌라고 똥개 같은기.,1,"['어쩌라고', '똥개', '같', '은', '기', '.']","똥개,",
16,아니 다른 알바 쌉랸들 지들이 먼저 그만둔다고 선수쳐서 말을 못꺼내겠어ㅜ,1,"['아니', '다른', '알바', '쌉랸들', '지', '들', '이', '먼저', '그만', '두', 'ᆫ다고', '선수', '치', '어서', '말', '을', '못', '꺼내', '겠', '어', 'ㅜ']","쌉랸,",
17,ㅋㅋ 그나물에 그밥 셀프 패드립임 지 부모 목줠라 죽이는 글,1,"['ㅋㅋ', '그', '나물', '에', '그', '밥', '셀프', '패드립임', '지', '부모', '목줠라', '죽이', '는', '글']","패드립,목쥘라,",
18,웃기네. 무서운 게 아니고 더러워서 꼴도 보기 싫은 거야.,1,"['웃기', '네', '.', '무섭', '은', '것', '이', '아니', '고', '더럽', '어서', '꼴', '도', '보', '기', '싫', '은', '거', '이', '야', '.']","더럽,어서,더러워서,",
19,"에휴, 그런 인간들은 바위로 뚝배기를 깨버려야 해.",1,"['에휴', ',', '그런', '인간', '들', '은', '바위', '로', '뚝배기', '를', '깨', '어', '버리', '어야', '하', '어', '.']","뚝배기,를,깨어,버리,어야,",
20,아니 사람 와꾸가 오징어처럼 개빻았다는 거지,1,"['아니', '사람', '와꾸', '가', '오징어', '처럼', '개', '빻', '었', '다는', '거지']","와꾸,개,빻,었,다는,",
21,와 고딩들 옷 진짜 좆같이 입네 ㅋㅋ,1,"['와', '고딩', '들', '옷', '진짜', '좆', '같이', '입', '네', 'ㅋㅋ']","좆같이,",
22,저런건 옷 파는 새끼를 족쳐야함 ㅋㅋ,1,"['저런', '거', 'ᆫ', '옷', '팔', '는', '새끼', '를', '족치', '어야', '하', 'ᆷ', 'ㅋㅋ']","새끼,족치,어야,족쳐야,",
23,"그 쉬운 공무원 시험도 장수 해서 붙은 멍청한샛기들한테 공무원을 시켜주면, 나라 꼬라지가 어떻게 되겠냐.",1,"['그', '쉽', '은', '공무원', '시험', '도', '장수', '하', '어서', '붙', '은', '멍청하', 'ᆫ', '샛기', '들', '한테', '공무원', '을', '시키', '어', '주', '면', ',', '나라', '꼬라지', '가', '어떻게', '되', '겠', '냐', '.']","멍청하,샛기,",
24,꼭 거지 새끼들이 억대 연봉이라 허세 부림 ㅋㅋ,1,"['꼭', '거지', '새끼', '들', '이', '억', '대', '연봉', '이', '라', '허세', '부림', 'ㅋㅋ']","거지,새끼,거지새끼,허세,",
25,중고나라 사기꾼 새끼들 개 잦같네 진짜 잡아서 쳐 죽이고 싶다,1,"['중고나라', '사기꾼', '새끼', '들', '개', '잦같네', '진짜', '잡', '어서', '치', '어', '죽이', '고', '싶', '다']","사기꾼,새끼,개,잦같네,",
26,나도 얼마 전에 사기 당했음 진짜 기분 개같더라 개련 어디서 뭐하는 련이고,1,"['나', '도', '얼마', '전', '에', '사기', '당하', '었', '음', '진짜', '기분', '개같더라', '개련', '어디', '서', '뭐', '하', '는', '련', '이', '고']","개같더라,개련,",
27,야 너 장애있냐? 말일 왜 이렇게 졷같이 해?,1,"['야', '너', '장애', '있', '냐', '?', '말일', '왜', '이렇게', '졷', '같이', '하', '어', '?']","장애,있,졷,같이,",
28,시1발련이 일부러 나 엳 먹이는 거지? 개객기야,1,"['시', '1', '발', '련', '이', '일부러', '나', '엳', '먹이', '는', '거', '이', '지', '?', '개객기', '야']","개객기,",
29,맞을만 하니까 맞았겠지.,1,"['맞', '을', '만', '하', '니까', '맞', '었', '겠', '지', '.']","맞,을,만,하,",
30,불호인 애들 줄 서 싹다 머리통 후리게,1,"['불', '호인', '애', '들', '줄', '서', '싹', '다', '머리통', '후리', '게']","머리통,후리,게,",
31,머가리 텅텅인 듯,1,"['머가리', '텅텅', '이', 'ᆫ', '듯']","머가리,텅텅,",
32,근데 니가 뚱뚱한 돼지년이라는건 구분 할 수 있음,1,"['근데', '니', '가', '뚱뚱', '하', 'ᆫ', '돼지년', '이', '라는', '거', 'ᆫ', '구분', '하', 'ᆯ', '수', '있', '음']","돼지년,",
33,누가봐도 뚱뚱한 가축새끼인데 끝까지 발악하네 ㅋㅋ,1,"['누구', '가', '보', '어도', '뚱뚱', '하', 'ᆫ', '가축', '새끼', '이', 'ᆫ데', '끝', '까지', '발악', '하', '네', 'ㅋㅋ']","가축,새끼,",
34,도움도안되는 여경을 쓸대없이 자꾸뽑아서 이지알을 하는지...,1,"['도움', '도', '안', '되', '는', '여경', '을', '쓰', 'ᆯ', '대', '없이', '자꾸', '뽑', '어서', '이지', '알', '을', '하', '는', '지', '...']","질알,",
35,아따 야이 미칠년이 배가 처불럿네 니 장사 그만하고싶나,1,"['아따', '야', '이', '미치', 'ᆯ', '년', '이', '배', '가', '처불럿네', '이', '니', '장사', '그만', '하', '고', '싶', '나']","미칠년,미치,ㄹ,년,",
36,ㅋㅋㅋ줫같은 급딱이련들 술담배 뚫으려 오면 사시미칼로 살려달라할때까지 찔러죽이고싶더라,1,"['ㅋㅋㅋ', '줫', '같', '은', '급', '딱', '이', '려', 'ᆫ들', '술', '담배', '뚫', '으려', '오', '면', '사시미', '칼', '로', '살리', '어', '달', '라', '하', 'ᆯ', '때', '까지', '찌르', '어', '죽이', '고', '싶', '더라']","줫,같,은,급딱,",
37,배달하는 샠히들 자기들도 갑질 장난 아니잖아 줄라 짜증 남 그러면서 피코 오지네?,1,"['배달', '하', '는', '샠히', '들', '자기', '들', '도', '갑', '질', '장난', '아니', '지', '않', '어', '주', 'ᆯ라', '짜증', '남', '그러면서', '피코', '오지', '이', '네', '?']","샠히,",
38,얼마나 머저리면 확진자 사망 사고에 정부 욕을 하고 자빠졌냐 미개한 k국민 클라스,1,"['얼마나', '머저리', '이', '면', '확진자', '사망', '사고', '에', '정부', '욕', '을', '하', '고', '자빠지', '었', '냐', '미개', '하', 'ᆫ', 'k', '국민', '클라스']","머저리,",
39,야.요년아 니가 튀면 못잡을줄 아냐.죽을라고 그냥.,1,"['야', '.', '요', '년', '아', '니', '가', '튀', '면', '못', '잡', '을', '줄', '알', '냐', '.', '죽', '을라고', '그냥', '.']","요,년,아,죽,을라고,",
40,기레기 가족 똑같이 죽여버려도 정당방위 아님? 눈에는 눈 이에는 이.,1,"['기레기', '가족', '똑같이', '죽이', '어', '버리', '어도', '정당방위', '아니', 'ᆷ', '?', '눈', '에', '는', '눈', '이', '에', '는', '이', '.']","기레기,죽이,어,",
41,기가 막혀서 지들 얼굴 바닥에 깔아 놓고 뭉개버려야 정신차리지,1,"['기', '가', '막히', '어서', '지', '들', '얼굴', '바닥', '에', '깔', '어', '놓', '고', '뭉개', '어', '버리', '어야', '정신', '차리', '지']","뭉개,어,버리,어,",
42,"하, 시발 진짜 덥네 지구온난화가 심하긴 하네",1,"['하', ',', '시발', '진짜', '덥', '네', '지구', '온난', '화', '가', '심하', '기', 'ᆫ', '하', '네']","시발,",
43,이렇게 더운데 에어컨 안틀어주는 레전드 틀딱 선생 졷같네,1,"['이렇', '게', '덥', '은데', '에어컨', '안', '틀', '어', '주', '는', '레전드', '틀딱', '선생', '졷', '같', '네']","틀딱,",
44,?? 그냥 억 단위 통장 들고 한녀들 보여주면 빰을 후려칠 거거든?,1,"['??', '그냥', '억', '단위', '통장', '들', '고', '한녀', '들', '보이', '어', '주', '면', '빰', '을', '후려치', 'ᆯ', '거', '이', '거든', '?']","한녀,빰,을,후려치,",
45,봐주기 싫으면 봐주지마 선비충~,1,"['봐주', '기', '싫', '으면', '봐주', '지', '말', '어', '선비', '충', '~']","선비,충,선비충,",
46,내가 선비충이 아니라 너가 범죄자 옹호하는 덜 떨어진 놈이지,1,"['나', '가', '선비', '충', '이', '아니', '라', '너', '가', '범죄자', '옹호', '하', '는', '덜', '떨어지', 'ᆫ', '놈', '이', '지']","선비,충,선비충,덜,떨어지,",
47,그 지고 건방지게 인터뷰 한 선수는 훈련소 가서 조뺑이 치다가 부상당하길 바란다.,1,"['그', '지', '고', '건방지', '게', '인터뷰', '하', 'ᆫ', '선수', '는', '훈련소', '가', '어서', '조뺑이', '치', '다가', '부상', '당하', '기', 'ᆯ', '바라', 'ᆫ다', '.']","조뻉이,",
48,그 인간 말할 때 진짜 야구 방망이로 뒤통수 쎄게 날리고 싶더라.,1,"['그', '인간', '말', '하', 'ᆯ', '때', '진짜', '야구', '방망이', '로', '뒤통수', '쎄', '게', '날리', '고', '싶', '더라', '.']","뒤통수,쎄,게,",
49,기껏 꾸미고 나갔는데 그런 찐따가 나왔어?,1,"['기껏', '꾸미', '고', '나가', '었', '는데', '그런', '찐따', '가', '나오', '었', '어', '?']","찐따,",
50,이제 OO전형으로 우리 대학 들어온 샛기들 걸리기만 하면 바로 물고문 들어간다.,1,"['이제', 'OO', '전형', '으로', '우리', '대학', '들어오', 'ᆫ', '샛기', '들', '걸리', '기', '만', '하', '면', '바로', '물고문', '들어가', 'ᆫ다', '.']","샛기,물고문,",
51,근데 강의 개쓰레기야 절대 듣지마,1,"['근데', '강의', '개', '쓰레기', '야', '절대', '듣', '지', '말', '어']","개,쓰레기,",
52,미치겠다ㅋㅋㅋㅋㅋ진짜 머가리에 돌만 들은거 아냐?,1,"['미치', '겠', '다', 'ㅋㅋㅋㅋㅋ', '진짜', '머가리', '에', '돌', '만', '듣', '은', '거', '알', '냐', '?']","머가리,에,돌,",
53,입으로 똥 싸는 똥싸개 솅키.,1,"['입', '으로', '똥', '싸', '는', '똥싸개', '솅키', '.']","똥싸개,셍키,",
54,똥이나 처먹을 놈.,1,"['똥', '이나', '처먹', '을', '놈', '.']","똥,처먹,놈,",
55,어떻게 그딴 인간 말종이 존재할 수 있지?,1,"['어떻게', '그딴', '인간', '말', '종', '이', '존재', '하', 'ᆯ', '수', '있', '지', '?']","인간말종,말종,",
56,"그러게, 자기 성욕도 주체 못 하는 쓰레기들은 확 그냥 거세해버려야 해.",1,"['그러게', ',', '자기', '성욕', '도', '주체', '못', '하', '는', '쓰레기', '들', '은', '확', '그냥', '거세', '하', '어', '버리', '어야', '하', '어', '.']","쓰레기,거세,",
57,난 키라도 큰데 너는 다 먹고 밟은 캔마냥 땅딸보잖아.,1,"['나', 'ᆫ', '키라', '도', '크', 'ᆫ', '데', '너', '는', '다', '먹', '고', '밟', '은', '캔', '마냥', '땅딸', '보', '잖아', '.']","땅딸보,",
58,진짜 바퀴벌레같은것들,1,"['진짜', '바퀴벌레', '같', '은', '것', '들']","바퀴벌레,같,은,",
59,한번 날 잡아서 담궈버릴래?,1,"['한번', '날', '잡', '어서', '담구', '어', '버리', 'ᆯ래', '?']","담구,어,버리,",
60,사람소린지 개소린지 모르겠는데 여튼 다 총쏴죽이고싶다,1,"['사람', '소리', '이', 'ᆫ지', '개소리', '이', 'ᆫ지', '모르', '겠', '는데', '여튼', '다', '총', '쏘', '어', '죽이', '고', '싶', '다']","개소리,총,쏘,어,죽이,",
61,평생 여자손도 못잡아본 낙오충들,1,"['평생', '여자', '손', '도', '못', '잡', '어', '보', 'ᆫ', '낙오', '충', '들']","낙오,충,낙오충,",
62,니 면상부터 갈겨드림,1,"['니', '면상', '부터', '갈기', '어', '드리', 'ᆷ']","면상,갈기,어,",
63,"저런 걸 보는 닭머리가 누군가 했는데, 너 같은 놈이었구나.",1,"['저런', '거', 'ᆯ', '보', '는', '닭', '머리', '가', '누구', '이', 'ᆫ가', '하', '었', '는데', ',', '너', '같', '은', '놈', '이', '었', '구나', '.']","닭,머리,닭머리,",
64,아비 없어서 가정교육 덜 받은 너랑은 나도 게임 안 해,1,"['아비', '없', '어서', '가정교육', '덜', '받', '은', '너', '랑', '은', '나', '도', '게임', '안', '하', '어']","아비,없,어서,",
65,OO 와 그 찐따련들이 입는걸 산다고..? 니가 잼민이냐? 줜나 없어보여 그런거 사지마,1,"['OO', '와', '그', '찐따', '련', '들', '이', '입', '는', '거', 'ᆯ', '사', 'ᆫ다고', '..?', '니', '가', '잼민', '이', '냐', '?', '줜나', '없', '어', '보이', '어', '그런', '거', '사', '지', '말', '어']","찐따,련,찐따련,",
66,5년인데 뭘 더 버티래 상폐는 어차피 방생해도 데려갈 흑우가 없어,1,"['5', '년', '이', 'ᆫ데', '뭐', 'ᆯ', '더', '버티', '래', '상폐', '는', '어차피', '방생', '하', '어도', '데려가', 'ᆯ', '흑우', '가', '없', '어']","상폐,흑우,",
67,여탕 들어오는 한남 유충들 샤워기호스로 물관장시키고 물바가지 똥꼬에 꼽고 개패서 다시는 여탕 못오게 만들어야함,1,"['여탕', '들어오', '는', '한', '남', '유충', '들', '샤워기', '호스', '로', '물', '관장', '시키', '고', '물바가지', '똥꼬', '에', '꼽', '고', '개', '어', '패', '어서', '다시', '는', '여탕', '못', '오', '게', '만들', '어야', '하', 'ᆷ']","한남,유충,물관장,",
68,일본 수상에다가 폭탄테러하자. 그 녀석 죽이고 열사가 되자,1,"['일본', '수상', '에다가', '폭탄', '테러', '하', '자', '.', '그', '녀석', '죽이', '고', '열사', '가', '되', '자']","폭탄,테러,",
69,십덕아 제발 쿰척쿰척 거리지 말고 현생 좀 살아라 싯팔,1,"['십', '덕', '아', '제발', '쿰척쿰척', '거리', '지', '말', '고', '현생', '좀', '살', '어라', '싯', '팔', 'ᆯ']","십덕,쿰척쿰척,싯팔,",
70,오늘 상사가 사유서 10줄 이상 써 오라면서 쪼개길래 죽빵 날리고 옴.,1,"['오늘', '상사', '가', '사유서', '10', '줄', '이상', '쓰', '어', '오', '라면서', '쪼개', '길래', '죽', '빵', '날리', '고', '오', 'ᆷ', '.']","쪼개,길래,죽,빵,죽빵,",
71,우리 집에 와서 먹었는데 왜 배달 잘못 온 게 잘못이지 내가 먹은 건 잘못 없잖아 꺼져 빨리,1,"['우리', '집', '에', '오', '어서', '먹', '었', '는데', '왜', '배달', '잘못', '오', 'ᆫ', '것', '이', '잘못', '이', '지', '나', '가', '먹', '은', '거', 'ᆫ', '잘못', '없', '지', '않', '어', '꺼', '지', '어', '빨리']","꺼,지,어,꺼져,",
72,와 이런 신박한 도른 자가 다 있네? 빨리 돈 쳐 내놔,1,"['와', '이런', '신', '박', '하', 'ᆫ', '도른', '자', '가', '다', '있', '네', '?', '빨리', '돈', '치', '어', '내', '어', '놓', '어']","도른,자,",
73,쌍수했다고 출전정지 당한 거 존나 어이털림 예전에 일어난 일이긴 한데,1,"['쌍수', '하', '었', '다고', '출전', '정지', '당하', 'ᆫ', '거', '존나', '어이', '털리', 'ᆷ', '예전', '에', '일어나', 'ᆫ', '일', '이', '기', 'ᆫ', '하', 'ᆫ데']","존나,",
74,에미가 사창가 출신에 머가리 텅텅 빈 한국 시짜 시모충인가? 감히 올림픽 메달리스트 외모를 평가해? 제발 한남 재기해,1,"['에미', '가', '사창가', '출신', '에', '머가리', '텅텅', '비', 'ᆫ', '한국', '시짜', '시모충', '이', 'ᆫ가', '?', '감히', '올림픽', '메달리스트', '외모', '를', '평가', '하', '어', '?', '제발', '한남', '재기', '하', '어']","에미,사창가,머가리,텅텅,시모,충,시모충,한남,재기,",
75,잼민이들 뒤에서 로우킥 갈기는 거 존잼.,1,"['잼민이', '들', '뒤', '에서', '로우', '킥', '갈기', '는', '거', '존잼', '.']","잼민이,로우킥,갈기,",
76,발 망치 듣고 있으면 발 잘라버리고 싶음,1,"['발', '망치', '듣', '고', '있', '으면', '발', '자르', '어', '버리', '고', '싶', '음']","자르,어,잘라버리,",
77,얼굴에 엘보킥 갈기고 싶게 생겼네.,1,"['얼굴', '에', '엘보킥', '갈기', '고', '싶', '게', '생기', '었', '네', '.']","엘보킥,갈기,고,",
78,그 장애인 버러지 보면 눈이 썩고 목소리를 들으면 고막이 썩어,1,"['그', '장애인', '버러지', '보', '면', '눈', '이', '썩', '고', '목소리', '를', '듣', '으면', '고막', '이', '썩', '어']","장애인,버러지,썩,",
79,찐따한테 희망고문 하는 이유가 뭐노? 너는 착실하다 착하다 이런 말 들어도 어차피 태어나길 앰생도태찐따라 똑같이 살아가고 있는데. 멘탈 개박살나서 살 의욕이 없다,1,"['찐따', '한테', '희망', '고문', '하', '는', '이유', '가', '뭐', '이', '노', '?', '너', '는', '착실하', '다', '착하', '다', '이런', '말', '듣', '어도', '어차피', '태어나', '기', 'ᆯ', '앰생도태찐따라', '똑같이', '살아가', '고', '있', '는', '데', '.', '멘탈', '개', '박살나', '어서', '살', 'ᆯ', '의욕', '이', '없', '다']","찐따,앰생도태찐따,",
80,이런.개쉬버럴 이렬려고 뺑이 친거야.,1,"['이런', '.', '개쉬버럴', '이렬려고', '뺑이', '치', 'ᆫ', '거', '이', '야', '.']","개쉬버럴,",
81,쒸퐉!!,1,"['쒸퐉', '!!']","쒸퐉,",
82,야 악플 달고 싶은데 고소 당할 까봐 쫄릴때 꿀팁 알려줄까 ㅋㅋ 남이 쓴 악플 캡쳐해서,1,"['야', '악플', '달', '고', '싶', '은데', '고소', '당하', 'ᆯ', '까봐', '쫄릴때', '꿀팁', '알려주', 'ᆯ까', 'ㅋㅋ', '남', '이', '쓰', 'ᆫ', '악플', '캡쳐', '하', '어서']","악플,",
83,나였으면 캣맘 나타나는 순간 오함마로 머리 찍어 죽인다 ㅋㅋ,1,"['나', '이', '었', '으면', '캣맘', '나타나', '는', '순간', '오', '함마', '로', '머리', '찍', '어', '죽이', 'ᆫ다', 'ㅋㅋ']","오함마,죽인다,",
84,그건 니가 아직 안만나봐서 그렇게 나불대는거지 ㅋㅋ 고막찢어질듯이 소리지르고 ㅈㄴ 뛰어다니는데 진짜 애고 엄마고 다 패버리고싶음걍,1,"['그거', 'ᆫ', '니', '가', '아직', '안', '만나', '어', '보', '어서', '그렇', '게', '나', '어', '불', '대는', '거', '이', '지', 'ㅋㅋ', '이', '고', '막', '찢어지', 'ᆯ', '듯이', '소리', '지르', '고', 'ㅈㄴ', '뛰어다니', '는', '데', '진짜', '애고', '엄마', '이', '고', '다', '패', '어', '버리', '고', '싶', '음', '걍']","패버리고,패,어,버리,",
85,아 빡치게 자꾸 잔소리 좀 하지마,1,"['아', '빡', '치', '게', '자꾸', '잔소리', '좀', '하', '지', '말', '어']","빡,빡치,",
86,씨발 이 좁은 땅덩어리에 잣 같은 차들은 왜 이렇게 많은 거임? 다 쓸어서 폐차 시켜버려야 됨,1,"['씨발', '이', '좁', '은', '땅덩어리', '에', '잣', '같', '은', '차', '들', '은', '왜', '이렇', '게', '많', '은', '거', '이', 'ᆷ', '?', '다', '쓸', '어서', '폐차', '시키', '어', '버리', '어야', '되', 'ᆷ']","씨발,잣,잣같은,",
87,고양이랑 캣맘이랑 다 화형시키고 싶네,1,"['고양이', '랑', '캣맘', '이랑', '다', '화형', '시키', '고', '싶', '네']","화형,",
88,와 부평보다 ㅈ창난 곳은 또 첨보네 ㅋㅋㅋㅋ,1,"['오', '어', '부평', '보다', '좆창', '나', 'ᆫ', '곳', '은', '또', '첨', '보', '네', 'ㅋㅋㅋㅋ']","좆창,좆,",
89,아 개 빡치네 나 실패 했다 정원도 작게 쳐 만들면서 어떻게 성공 하라고 학교 폭파 시키고 싶네,1,"['아', '개', '빡치네', '나', '실패', '하', '었', '다', '정원', '도', '작', '게', '치', '어', '만들', '면서', '어떻', '게', '성공', '하', '라고', '학교', '폭파', '시키', '고', '싶', '네']","개,빡치네,개빡치네,",
90,형량과 상관없이 일단 자궁은 적출해버려라,1,"['형량', '과', '상관없이', '일단', '자궁', '은', '적출', '하', '어', '버리', '어라']","적출,",
91,다 싸잡아서 삼청교육대 같은데다 넣어야됨,1,"['다', '싸잡', '어서', '삼청교육대', '같', '은', '데', '다', '넣', '어야', '되', 'ᆷ']","싸잡,삼청교육대,",
92,쥰내 암울하네. 한번 확 갈아 엎어야 하는데.,1,"['쥰', '나', '의', '암울', '하', '네', '.', '한번', '확', '갈', '어', '엎', '어야', '하', '는', '데', '.']","쥰나,쥰내,",
93,다리 병신도 아니고 왜 못 타?,1,"['다리', '병신', '도', '아니', '고', '왜', '못', '하', '다', '?']","병신,",
94,때린 사람도 태권도 관장한테 잘못 걸려 골로 갈 뻔 했는데 횡재했네,1,"['때리', 'ᆫ', '사람', '도', '태권도', '관장', '한테', '잘못', '걸리', '어', '골', '로', '가', 'ᆯ', '뻔', '하', '었', '는데', '횡재', '하', '었', '네']","골,골로가,",
95,우리나라 법이 족같아서 멱살만 잡아도 쌍방처리 되버리니 참는 수 밖에,1,"['우리나라', '법', '이', '족', '같', '어서', '멱살', '만', '잡', '어도', '쌍방', '처리', '되', '버리', '니', '참', '는', '수', '밖', '에']","족,족같어서,족같아서,",
96,"응, 종북 좌좀도 수꼴도 다 죽어버렸으면 좋겠어",1,"['응', ',', '종북', '좌', '좀', '도', '수', '꼴', '도', '다', '죽', '어', '버리', '었', '으면', '좋', '겠', '어']","종북,좌좀,수꼴,",
97,그냥 너무 멍청해 엄뒤크리 터진듯,1,"['그냥', '너무', '멍청하', '어', '엄뒤크리', '터지', 'ᆫ', '듯']","엄뒤,엄뒤크리,",
98,통보 못 받았다고 오리발 내미는 샤발라는 잡아먹히거든요,1,"['통보', '못', '받', '었', '다고', '오리발', '내밀', '는', '샤발라', '는', '잡아먹히', '거든요']","샤발라,",
99,진짜 애샛기들은 법무서운줄 모르고 나대는데 묶어놓고 개패듯이패면 괜찮아질걸,1,"['진짜', '애샛기', '들', '은', '법', '무섭', '은', '줄', '모르', '고', '나대', '는', '데', '묶', '어', '놓', '고', '개', '패', '듯이', '패', '면', '괜찮', '어', '지', 'ᆯ', '거', 'ᆯ']","애샛기,애새끼,개패,",
100,아직도 OO 믿는 머저리가 있냐?,1,"['아직', '도', 'OO', '믿', '는', '머저리', '가', '있', '냐', '?']","머저리,",
101,니보단 많이 낼 것 같은데? 좆밥아,1,"['니', '보다', 'ᆫ', '많이', '내', 'ᆯ', '것', '같', '은데', '?', '좆밥', '아']","좆밥,좆밥아,",
102,"분조장샛기들 칼로 몇 번 후비면 싹 고쳐질텐데, 사시미 함 가지고 나갈까?",1,"['분조장샛기들', '칼', '로', '몇', '번', '후비', '면', '싹', '고치', '어', '지', 'ᆯ', '터', '이', 'ᆫ데', ',', '사시미', '함', '가지', '고', '나가', 'ᆯ까', '?']","분조장,분조장샛기,사시미,",
103,그래서 지금의 남자들 상태가 다 씹창난 거야,1,"['그래서', '지금', '의', '남자', '들', '상태', '가', '다', '씹', '창', '나', 'ᆫ', '거', '야']","씹창,",
104,남자는 동물이라서 골프채로 처맞아야 교육이 된다고.,1,"['남자', '는', '동물', '이', '라서', '골프채', '로', '처', '맞', '어야', '교육', '이', '되', 'ᆫ다고', '.']","처맞,처맞아야,처맞어야,",
105,진짜 토론 주체하는거 보면 면상을 갈기고 싶다니깐,1,"['진짜', '토론', '주체', '하', '는', '거', '보', '면', '면상', '을', '갈기', '고', '싶', '다니까', 'ᆫ']","면상,갈기,",
106,뭐하려고 봐줌 븁신임? 당장 신고해라 네가 맨날 봐주니까 찐따사는 줄 알고 그냥 놔두는 듯,1,"['뭐', '하', '려고', '봐주', 'ᆷ', '븁', '신임', '?', '당장', '신고', '하', '어라', '너', '가', '맨날', '보', '어', '주', '니까', '찐따', '살', '는', '줄', '알', '고', '그냥', '놔두', '는', '듯']","븁신,븅신,찐따,",
107,좋게 좋게 생각해도 모자란데 쟤는 꼭 저렇게 패고싶은 짓만 골라해,1,"['좋', '게', '좋', '게', '생각', '하', '어도', '모자라', 'ᆫ데', '쟤', '는', '꼭', '저렇', '게', '패', '고', '싶', '은', '짓', '만', '고르', '어', '하', '어']","패고싶,",
108,원래 저런 진상들은 좀 맞아야지 정신차려 그냥 패버려,1,"['원래', '저런', '진상', '들', '은', '좀', '맞', '어야지', '정신', '차리', '어', '그냥', '패', '어', '버리', '어']","맞아야지,맞어야지,",
109,외쿡인들 한국어 어눌하게 구사하는거 보면 혀 뽑고싶음,1,"['외쿡', '이', 'ᆫ들', '한국어', '어눌', '하', '게', '구사', '하', '는', '거', '보', '면', '혀', '뽑', '고', '싶', '음']","혀뽑,",
110,OO이 나서서 거기 전체에 살충제를 뿌렸어야 해,1,"['OO', '이', '나서', '어서', '거기', '전체', '에', '살충제', '를', '뿌리', '었', '어야', '하', '어']","살충제,",
111,너 그러다 진짜 다구리로 쳐맞아,1,"['너', '그러다', '진짜', '다구리', '로', '치', '어', '맞', '어']","다구리,",
112,쳐맞기 싫으면 입다물고 조신하게 있어라,1,"['치', '어', '맞', '기', '싫', '으면', '입', '다물', '고', '조신', '하', '게', '있', '어라']","쳐맞기,",
113,역시 데뷔 때부터 알아봤어야 했는데; 골빈냔들,1,"['역시', '데뷔', '때', '부터', '알', '어', '보', '었', '어야', '하', '었', '는데', ';', '골빈냔', '들']","골빈냔,골빈년,골빈,",
