,0,1
27,"다만, 민원 상담 시 성희롱적 언행은 삼가 주시기 바랍니다","['다만', ',', '민원', '상담', '시', '성희롱', '적', '언행', '은', '삼가', '어', '주', '시', '기', '바라', 'ᆸ니다']"
28,방금하신 말씀은 제가 듣기에 불편합니다.,"['방금', '하', '시', 'ᆫ', '말씀', '은', '저', '가', '듣', '기', '에', '불편', '하', 'ᆸ니다', '.']"
29,성희롱에 해당될 수 있으니 말씀을 가려해 주십시오.,"['성희롱', '에', '해당', '되', 'ᆯ', '수', '있', '으니', '말씀', '을', '가리', '어', '하', '어', '주', '시', 'ᆸ시오', '.']"
30,선생님은 전화를 이용하여 성적 수치심이나 혐오감을 발생 시키셨음으로 성폭력 범죄의 처벌 등에 관한 특례법 제 13조에 따라 처벌될 수 있습니다.,"['선생', '님', '은', '전화', '를', '이용', '하', '어', '성', '적', '수치심', '이나', '혐오감', '을', '발생', '시키', '시', '었', '음', '으로', '성폭력', '범죄', '의', '처벌', '등', '에', '관하', 'ᆫ', '특례법', '제', '13', '조', '에', '따르', '어', '처벌', '되', 'ᆯ', '수', '있', '습니다', '.']"
31,더 이상 상담이 어렵습니다.,"['더', '이상', '상담', '이', '어렵', '습니다', '.']"
32,"공포심이나 불안감을 조성하는 말씀을 반복적으로 하시고, 욕설을 계속하시면 위법행위로서 관련법률에 저촉될 수 있습니다.","['공포심', '이나', '불안감', '을', '조성', '하', '는', '말씀', '을', '반복', '적', '으로', '하', '시', '고', ',', '욕설', '을', '계속', '하', '시', '면', '위법', '행위', '로서', '관련', '법률', '에', '저촉', '되', 'ᆯ', '수', '있', '습니다', '.']"
33,"선생님께서 폭언을 해서, 다른 민원인들에게 불편을 주고 업무에 지장을 주고 계시니 폭언을 즉시 중단해주십시오.","['선생', '님', '께서', '폭언', '을', '하', '어서', ',', '다르', 'ᆫ', '민원인', '들', '에게', '불편', '을', '주', '고', '업무', '에', '지장', '을', '주', '고', '계시', '니', '폭언', '을', '즉시', '중단', '하', '어', '주', '시', 'ᆸ시오', '.']"
34,진정하시고 원하시는 사항을 차분히 말씀해주셔야 도움을 드릴 수 있습니다.,"['진정', '하', '시', '고', '원', '하', '시', '는', '사항', '을', '차분히', '말씀', '하', '어', '주', '시', '어야', '도움', '을', '드리', 'ᆯ', '수', '있', '습니다', '.']"
35,지금 선생님과의 상담내용은 모두 녹취가 되고 있으므로 폭언 등을 하실 경우 추후 법적조치로 인한 불이익을 받으실 수도 있습니다.,"['지금', '선생', '님', '과', '의', '상담', '내용', '은', '모두', '녹취', '가', '되', '고', '있', '으므로', '폭언', '등', '을', '하', '시', 'ᆯ', '경우', '추후', '법', '적', '조치', '로', '인하', 'ᆫ', '불', '이익', '을', '받', '으시', 'ᆯ', '수', '도', '있', '습니다', '.']"
36,"선생님, 폭언 등의 중지를 요청 드렸음에도 폭언 등을 계속 하시기 때문에 응대를 중단하도록 하겠습니다.","['선생', '님', ',', '폭언', '등', '의', '중지', '를', '요청', '드리', '었', '음', '에', '도', '폭언', '등', '을', '계속', '하', '시', '기', '때문', '에', '응대', '를', '중단', '하', '도록', '하', '겠', '습니다', '.']"
37,"고객님, 화가 나셨겠지만 차분히 말씀해 주시겠습니까?","['고객', '님', ',', '화', '가', '나', '시', '었', '겠', '지만', '차분히', '말씀', '하', '어', '주', '시', '겠', '습니까', '?']"
38,지금 고객님의 대화 내용은 녹음되고 있음을 알려드립니다,"['지금', '고객', '님', '의', '대화', '내용', '은', '녹음', '되', '고', '있', '음', '을', '알리', '어', '드리', 'ᆸ니다']"
39,"고객님, 제가 더 이상 도와드릴 수가 없습니다.","['고객', '님', ',', '저', '가', '더', '이상', '도와드리', 'ᆯ', '수', '가', '없', '습니다', '.']"
40,그렇게 말씀하시면 응대가 어렵습니다,"['그렇', '게', '말씀', '하', '시', '면', '응대', '가', '어렵', '습니다']"
41,마음을 가라 앉히시고 차분히 말씀해 주시겠습니까?,"['마음', '을', '가', '라', '앉히', '시', '고', '차분히', '말씀', '하', '어', '주', '시', '겠', '습니까', '?']"
42,이런 말씀을 하시면 응대가 어렵습니다.,"['이런', '말씀', '을', '하', '시', '면', '응대', '가', '어렵', '습니다', '.']"
43,"고객님, 공적인 부분에(백화점 업무) 대해서만 말씀해 주시기 바라며, 그 외 사적인 부분은 자제해 주시기 바랍니다.","['고객', '님', ',', '공', '적', '이', 'ᆫ', '부분', '에', '(', '백화점', '업무', ')', '대', '하', '어서', '만', '말씀', '하', '어', '주', '시', '기', '바라', '며', ',', '그', '외', '사', '적', '이', 'ᆫ', '부분', '은', '자제', '하', '어', '주', '시', '기', '바라', 'ᆸ니다', '.']"
44,"고객님, 상대방에게 성적 수치심이나 혐오감을 일으키는 말을 지속적으로 사용할 경우 성폭력범죄의 처벌 등에 관한 특례법 제13조에 해당되며, 2년 이하의 징역 또는 500만 원 이하의 벌금에 처할 수 있음을 안내드립니다.","['고객', '님', ',', '상대방', '에게', '성', '적', '수치심', '이나', '혐오감', '을', '일으키', '는', '말', '을', '지속', '적', '으로', '사용', '하', 'ᆯ', '경우', '성폭력', '범죄', '의', '처벌', '등', '에', '관하', 'ᆫ', '특례법', '제', '13', '조', '에', '해당', '되', '며', ',', '2', '년', '이하', '의', '징역', '또는', '500', '만', '원', '이하', '의', '벌금', '에', '처하', 'ᆯ', '수', '있', '음', '을', '안', '내', '어', '드리', 'ᆸ니다', '.']"
45,"고객님, 말씀을 중지해 주시기 바랍니다.","['고객', '님', ',', '말씀', '을', '중지', '하', '어', '주', '시', '기', '바라', 'ᆸ니다', '.']"
46,"○○○님, 계속해서 폭언과 욕설을 하시면 제가 도와드리기가 어렵습니다.","['○○○', '님', ',', '계속', '하', '어서', '폭언', '과', '욕설', '을', '하', '시', '면', '저', '가', '돕', '어', '드리', '기', '가', '어렵', '습니다', '.']"
47,"○○○님, 화가 나셨겠지만 차분히 말씀해 주시면 도와드리겠습니다.","['○○○', '님', ',', '화', '가', '나', '시', '었', '겠', '지만', '차분히', '말씀', '하', '어', '주', '시', '면', '돕', '어', '드리', '겠', '습니다', '.']"
48,"○○○님의 이런 말씀과 행동은 상대방에게 목욕감과 공포감을 일으키는 위법행위로서 관련 법령(형법 제311조 모욕죄, 제283조 협박)에 저촉될 수 있습니다.","['○○○', '님', '의', '이런', '말씀', '과', '행동', '은', '상대방', '에게', '목욕', '감', '과', '공포감', '을', '일으키', '는', '위법', '행위', '로서', '관련', '법령', '(', '형법', '제', '311', '조', '모욕죄', ',', '제', '283', '조', '협박', ')', '에', '저촉', '되', 'ᆯ', '수', '있', '습니다', '.']"
49,자제를 부탁드립니다.,"['자제', '를', '부탁', '드리', 'ᆸ니다', '.']"
50,제가 더 이상 도와드릴 수가 없습니다.,"['저', '가', '더', '이상', '도와드리', 'ᆯ', '수', '가', '없', '습니다', '.']"
