,0,1,2,3
23,´ëÇü°ß µ¥¸®°í ÀÚÀ§ÇÏ·Á°í Å°¿ì´Â °Å·¡ÀÝ¾Æ,2,"['´ëÇü', '°ß', 'µ¥¸®', '°í', 'ÀÚÀ§', 'ÇÏ', '·Á°í', 'Å°¿ì', '´Â', '°Å', 'ÀÌ', '·¡', 'ÀÝ¾Æ']","ÀÚÀ§,"
24,º¸Àûº¸ ÇÏ´Ù ÇÏ´Ù ÀÌÁ¦ ¹éÀÎ±îÁö ¾¥¼Å´ë³Ä?,2,"['º¸Àûº¸', 'ÇÏ', '´Ù', 'ÇÏ', '´Ù', 'ÀÌÁ¦', '¹éÀÎ', '±îÁö', '¾¥½Ã', '¾î', '´ë', '³Ä', '?']","º¸Àûº¸,¾¥½Ã,¾¥¼Å,"
25,³ª ¿À´Ã ·Î¸°ÀÌ¶û ½Î±â Àü±îÁö °¬´Ù,2,"['³ª', '¿À´Ã', '·Î¸°', 'ÀÌ¶û', '½Î', '±â', 'Àü', '±îÁö', '°¡', '¾ú', '´Ù']","·Î¸°,½Î,½Î±â,"
26,°³Àß»ý±â¸é ¿©ÀÚµéµµ ºäÁö°¡ ÃËÃËÇØÁö¸é¼­ ³ú°¡ Á¤ÁöÇÑ´Ù.,2,"['°³', 'Àß»ý±â', '¸é', '¿©ÀÚ', 'µé', 'µµ', 'ºäÁö', '°¡', 'ÃËÃËÇÏ', '¾î', 'Áö', '¸é¼­', '³ú', '°¡', 'Á¤Áö', 'ÇÏ', '?´Ù', '.']","ºäÁö,"
27,°Â³× ±×·¡¼­ ¸Ç³¯ ºýÃÌ °¡ÀÝ¾Æ,2,"['°Â', '³×', '±×·¡¼­', '¸Ç³¯', 'ºý', 'ÃÌ', '°¡', 'ÀÝ¾Æ']","ºý,ÃÌ,ºýÃÌ,"
28,ºýÃÌ °¡¼­ ¼ºº´ °É·Á µÚÁ³À½ ÁÁ°Ú³×,2,"['ºý', 'ÃÌ', '°¡', '¾î¼­', '¼ºº´', '°É¸®', '¾î', 'µÚÁö', '¾ú', 'À½', 'ÁÁ', '°Ú', '³×']","¼ºº´,"
29,ÀÚ ³»¸¶´©¶ó ¹öÁö¸¦ »¡¾Æº¸¼¼¿©,2,"['ÀÚ', '³ª', 'ÀÇ', '¸¶´©¶ó', '¹öÁö', '¸¦', '»¡', '¾î', 'º¸', '¼¼', '¿©']","¹öÁö,»¡,»¡¾Æ,"
30,³× ºü¼¼¿© Á¦°¡ ½ÃÅ°´Â´ë·Î¸¸ ÇÏ½Ã¸é µÇ¿ä,2,"['³×', 'ºü¼¼¿©', 'Àú', '°¡', '½ÃÅ°', '´Â', '´ë·Î', '¸¸', 'ÇÏ', '½Ã', '¸é', 'µÇ', '¿ä']","ºü¼¼¿©,"
31,³× ¹öÁö ºÎÅÍ °¡½¿±îÁö Ä§À¸·Î µµ¹èÇØµå¸®²²¿ä,2,"['³×', '¹öÁö', 'ºÎÅÍ', '°¡½¿', '±îÁö', 'Ä§', 'À¸·Î', 'µµ¹è', 'ÇÏ', '¾î', 'µå¸®', '²²¿ä']","¹öÁö,°¡½¿,"
32,ÇÒ¼öÀÖ´Â ½ºÅ³À» ½á¼­ ³»¸¶´©¶ó¸¦ ÈïºÐ½ÃÅ°¼¼¿ä,2,"['ÇÏ', '?', '¼ö', 'ÀÖ', '´Â', '½ºÅ³', 'À»', '¾²', '¾î¼­', '³ª', 'ÀÇ', '¸¶´©¶ó', '¸¦', 'ÈïºÐ', '½ÃÅ°', '¼¼¿ä']","ÈïºÐ,"
33,¸ö ÆÄ´Â ¾ÖµéÀÌ ¾ó±¼¸¸ ¹Ý¹ÝÇÏ¸é µÇÁö ¿Ö ÀÎ¼º±îÁö º½,2,"['¸ö', 'ÆÈ', '´Â', '¾Ö', 'µé', 'ÀÌ', '¾ó±¼', '¸¸', '¹Ý¹Ý', 'ÇÏ', '¸é', 'µÇ', 'Áö', '¿Ö', 'ÀÎ¼º', '±îÁö', 'º½']","¸ö,ÆÈ,¸öÆÄ´Â,"
34,³× Àú´Â ÁÖÀÎ´ÔÀÇ ¾ÏÄ³ÀÔ´Ï´Ù ÁÖÀÎ´Ô ¸¶À½´ë·Î ÇÏ¼¼¿ä,2,"['³×', 'Àú', '´Â', 'OO', 'ÁÖÀÎ', '´Ô', 'ÀÇ', '¾ÏÄ³', 'ÀÌ', '?´Ï´Ù', 'ÁÖÀÎ', '´Ô', '¸¶À½', '´ë·Î', 'ÇÏ', '¼¼¿ä']","¾ÏÄ³,"
35,³ª°°À¸¸é ÇÏ·çÁ¾ÀÏ ¹°°í »¡°í ÇÑ´Ù,2,"['³ª', '°°', 'À¸¸é', 'ÇÏ·ç', 'Á¾ÀÏ', '¹°', '°í', '»¡', '°í', 'ÇÏ', '?´Ù']","¹°,»¡,¹°°í»¡°í,"
36,±×·³ ´Ï °íµù¶§ ÈÊÂ¯µµ ¾È¶ÕÀ½? ÀÌ»öÈñ ¿ÏÀü ¾Æ´Ù³× ±Í¿±³ë °íµù¶§ 20»ì ´©³ª¶û ¾ß½ºÇß´Âµ¥ Ãµ±¹ÀÌ´øµ¥ ±×¸³´Ù ±×·Ã Áö±ÝÀº ¾ÆÁö¸Å°Ú³×,2,"['±×·³', '´Ï', '°íµù¶§', 'ÈÊ', 'Â¯', 'µµ', '¾È', '¶Õ', 'À½', '?', 'ÀÌ»ö', 'Èñ', '¿ÏÀü', '¾Æ', '´Ù', '³Ê', 'ÀÇ', '±Í¿±', '³ë', '¤»', '°íµù¶§', '20', '»ì', '´©³ª', '¶û', '¾ß½º', 'ÇÏ', '¾ú', '´Â', 'µ¥', 'Ãµ±¹', 'ÀÌ', '´øµ¥', '±×¸³', '´Ù', '±×', '·Ã', 'Áö±Ý', 'Àº', '¾ÆÁö¸Å', 'ÀÌ', '°Ú', '³×']","ÈÄÀå,¾Æ´Ù,¾ß½º,"
37,À°Áø ¾Ö·Î ºÒ·¯´Þ¶ó°í ÇØ¾ßÁö,2,"['À°Áø', '¾Ö', '·Î', 'ºÎ¸£', '¾î', '´Þ', '¶ó°í', 'ÇÏ', '¾î¾ßÁö']","À°Áø,"
38,°£È£»ç ´©³ª°¡ ¾ûµ¢ÀÌ ¶§·ÁÁÙ ¶§ ÈïºÐÇß¾î?,2,"['°£È£»ç', '´©³ª', '°¡', '¾ûµ¢ÀÌ', '¶§¸®', '¾î', 'ÁÖ', '?', '¶§', 'ÈïºÐ', 'ÇÏ', '¾ú', '¾î', '?']","¾ûµ¢ÀÌ,ÈïºÐ,"
39,±Ùµ¥ ±×°Å ¾Ö°¡ Çß¾îºÁ¶ó ¼½½ÃÇÏ´Ù°í ³²ÀÚµé ¹ßµü¹ßµüÀÌÁö,2,"['±Ùµ¥', '±×°Å', 'OO', '°°', 'Àº', '¾Ö', '°¡', 'ÇÏ', '¾ú', '¾î', 'º¸', '¾î¶ó', '¼½½Ã', 'ÇÏ', '´Ù°í', '³²ÀÚµé', '¹ßµü', '¹ßµü', 'ÀÌ', 'Áö', '¤»¤»']","¹ßµü,"
40,ÁøÂ¥ ±×·¯´Ù°¡ ¼ºº´°É·Á¼­ µïÁø´Ù ÀÌÁ¦ ±×¸¸ Á» Àæ¸Ó°¥ÀÌ ±¼¸®°í ´Ù³à¶ó,2,"['ÁøÂ¥', '±×·¯', '´Ù°¡', '¼ºº´', '°É¸®', '¾î¼­', 'µï', 'Áö', '?´Ù', 'ÀÌÁ¦', '±×¸¸', 'Á»', 'Àæ¸Ó°¥', 'ÀÌ', '±¼¸®', '°í', '´Ù´Ï', '¾î¶ó']","¼ºº´,Àæ¸Ó°¥,"
41,¼Õµµ ºÎµéºÎµé ¾ûµ¢ÀÌµµ ¾ßµé¾ßµéÇÏ°Ô °ü¸®¸¦ ÇØ¾ß ³²ÀÚµéÀÌ ÁÁ¾ÆÇÏÁö,2,"['¼Õ', 'µµ', 'ºÎµéºÎµé', '¾ûµ¢ÀÌ', 'µµ', '¾ßµé¾ßµé', 'ÇÏ', '°Ô', '°ü¸®', '¸¦', 'ÇÏ', '¾î¾ß', '³²ÀÚ', 'µé', 'ÀÌ', 'ÁÁ¾ÆÇÏ', 'Áö']","¾ûµ¢ÀÌ,¾ßµé¾ßµé,"
42,°¡½¿µµ ÀÚ¿¬»ê¿¡ À°´öÀÌ¶ó »ö±â°¡ Áö·Á,2,"['°¡½¿', 'µµ', 'ÀÚ¿¬', '»ê', '¿¡', 'À°´öÀÌ', 'ÀÌ', '¶ó', '»ö', '±â', '°¡', 'Áö', '·Á']","ÀÚ¿¬»ê,À°´ö,»ö±â,"
43,ÁøÂ¥ ÇÑ ¹ø¸¸ »¡¾Æ º¸°í ½Í´Ù,2,"['ÁøÂ¥', 'ÇÑ', '¹ø', '¸¸', '»¡', '¾î', 'º¸', '°í', '½Í', '´Ù']","»¡,»¡¾Æ,"
44,´Ï ¾î¸Ó´Ï ÇÑ±¹¿¡¼­ ´Ù¸® ¹ú¸®°í °øÂ¥º¯±â ³ë¸©ÇÏ´Â °³¼±Á·,2,"['´Ï', '¾î¸Ó´Ï', 'ÇÑ±¹', '¿¡¼­', '´Ù¸®', '¹ú¸®', '°í', '°øÂ¥', 'º¯±â', '³ë¸©', 'ÇÏ', '´Â', '°³¼±', 'Á·', '¤»¤»¤»']","´Ù¸®¹ú¸®,"
45,¸Â´Â¸»ÀÎµ¥?¿Ö Ç®¹ß±âÇÔ °èÁ¤ ÆÈ·¯¿Ô³Ä,2,"['¸Â', '´Â', '¸»', 'ÀÌ', '?µ¥', '\xa0', '¿Ö', 'Ç®', '¹ß±â', 'ÇÔ', '¤»¤»', '°èÁ¤', 'ÆÈ', '·¯', '¿À', '¾ú', '³Ä']","Ç®,¹ß±â,"
46,ÁøÂ¥ ±³µµ¼Ò¿¡¼­´Â ÀÌ»ÚÀåÇÑ ¾Öµé µÞ¹®À¸·Î µ¹·Á ¸Ô°í ±×·¯³Ä?,2,"['ÁøÂ¥', '±³µµ¼Ò', '¿¡¼­', '´Â', 'ÀÌ»ÚÀå', 'ÇÏ', '?', '¾Ö', 'µé', 'µÞ¹®', 'À¸·Î', 'µ¹¸®', '¾î', '¸Ô', '°í', '±×·¯', '³Ä', '?']","µÞ¹®,"
47,Àú°Ç ¿ÏÀü ¼ºÃßÇà ´çÇÒ¶ó°í ÀÛÁ¤ÇÑ °Å ¾Æ´Ï³Ä?,2,"['Àú°Å', '?', '¿ÏÀü', '¼ºÃßÇà', '´çÇÏ', '?¶ó°í', 'ÀÛÁ¤', 'ÇÏ', '?', '°Å', '¾Æ´Ï', '³Ä', '?']","¼ºÃßÇà,"
48,³ªµµ Á¥ÅÊÀÌ³ª Èçµé°í ½ºÅ¸Å· ½Å´Â °Å º¸¿©ÁÖ¸é¼­ µ· ¹ú°í ½Í´Ù,2,"['³ª', 'µµ', 'Á¥ÅÊ', 'ÀÌ³ª', 'Èçµé', '°í', '½ºÅ¸Å·', '½Å', '´Â', '°Å', 'º¸ÀÌ', '¾î', 'ÁÖ', '¸é¼­', 'µ·', '¹ú', '°í', '½Í', '´Ù']","Á¥ÅÊ,"
49,¼º°ü°èÁýÂøÁõ È¯ÀÚµéÀÌ´Ï Çø¿À½º·¯¿î Áþ°Å¸®³ª ÇÏÁö,2,"['¼º°ü°è', 'ÁýÂø', 'Áõ', 'È¯ÀÚ', 'µé', 'ÀÌ', '´Ï', 'Çø¿À', '½º·´', 'Àº', 'Áþ°Å¸®', '³ª', 'ÇÏ', 'Áö']","¼º°ü°è,"
50,ÇÒ¹è ¹ã ÀÏ ÇÒ ÁÙÀº ¾Æ³ª. ±×³É ºÀ»ç ¶Ù´Â °Å ¾Æ´Ô?,2,"['ÇÒ¹è', '¹ã', 'ÀÏ', 'ÇÏ', '?', 'ÁÙ', 'Àº', '¾Ë', '³ª', '.', '±×³É', 'OO', '°¡', 'ºÀ»ç', '¶Ù', '´Â', '°Å', '¾Æ´Ï', '?', '?']","¹ã,¹ãÀÏ,"
51,ÀþÀº ·ÃÀÌ¶û ³î°í ½ÍÀ¸¸é ±×³É ¾÷¼Ò¸¦ °¡Áö ¿Ö °ø°³ÀûÀ¸·Î ±×·± ¿¬¾Ö¸¦ ÇÏ´Â °ÅÀÓ,2,"['Àþ', 'Àº', '·Ã', 'ÀÌ¶û', '³î', '°í', '½Í', 'À¸¸é', '±×³É', '¾÷¼Ò', '¸¦', '°¡', 'Áö', '¿Ö', '°ø°³', 'Àû', 'À¸·Î', '±×·±', '¿¬¾Ö', '¸¦', 'ÇÏ', '´Â', '°Å', 'ÀÌ', '?']","¾÷¼Ò,"
52,º¸´Ùº¸´Ï °³²Ã¸®´Â °Í °°±âµµ ÇÏ°í,2,"['º¸', '´Ù', 'º¸', '´Ï', '°³', '²Ã¸®', '´Â', '°Í', '°°', '±â', 'µµ', 'ÇÏ', '°í', '¤»¤»']","²Ã¸®,²Ã¸®´Â,"
53,±×¶ó¹È ³²ÀÚµé ¿Ö È£ÁÖ¸Ó´Ï ¼Õ³Ö°í ¸ô·¡ ²¿Ãå Á¤¸®ÇÔ? ¸ÕÀú ¸»ÇØÁà¹Ù ¾Ë·ÁÁÖ²²,2,"['±×¶ó¹È', '³²ÀÚ', 'µé', '¿Ö', 'È£ÁÖ¸Ó´Ï', '¼Õ', '³Ö', '°í', '¸ô·¡', '²¿Ãå', 'Á¤¸®', 'ÇÏ', '?', '?', '¸ÕÀú', '¸»', 'ÇÏ', '¾î', 'ÁÖ', '¾î', '¹Ù', '¾Ë¸®', '¾î', 'ÁÖ', '²²']","²¿Ãå,"
54,ÁøÂ¥ ÀÌ »¡ÅëÀº Àü¼³ÀÌ´Ù,2,"['ÁøÂ¥', 'ÀÌ', '»¡Åë', 'Àº', 'Àü¼³', 'ÀÌ', '´Ù']","»¡Åë,"
55,ÇÑ³²µéÀº ¿Ö 2D À¯Æ©¹öº¸¸é¼­ ÇÏ¾Ç°Å¸®´Â °ÅÀÓ?,2,"['ÇÑ', '³²', 'µé', 'Àº', '¿Ö', '2', 'D', 'À¯Æ©¹ö', 'º¸', '¸é¼­', 'ÇÏ¾Ç', '°Å¸®', '´Â', '°Å', 'ÀÌ', '?', '?']","ÇÏ¾Ç,"
56,¿¬¼ÓµÇÁö ¾ÊÀº ºÎºÐÀÌ ÀÖÀ¸¸é ÀÇÁ¥ÀÓ,2,"['¿¬¼Ó', 'µÇ', 'Áö', '¾Ê', 'Àº', 'ºÎºÐ', 'ÀÌ', 'ÀÖ', 'À¸¸é', 'ÀÇÁ¥ÀÓ']","ÀÇÁ¥,"
57,ÇÏ±ä ¿©ÀÚµéÀÌ °ñ¹Ýµµ ÁÁ°í ¾ûµ¢ÀÌµµ Å©°í ÁÁÁö~,2,"['ÇÏ±ä', 'OO', '¿©ÀÚ', 'µé', 'ÀÌ', '°ñ¹Ý', 'µµ', 'ÁÁ', '°í', '¾ûµ¢ÀÌ', 'µµ', 'Å©', '°í', 'ÁÁ', 'Áö', '~']","°ñ¹Ý,¾ûµ¢ÀÌ,"
58,»ý°¢¸¸ ÇØµµ ¹ú½á ½Ò °Å °°´Ù.,2,"['¤»¤»', '»ý°¢', '¸¸', 'ÇÏ', '¾îµµ', '¹ú½á', '½Î', '?', '°Å', '°°', '´Ù', '.']","½Î,½Ò°Å,"
59,1¾ï¿¡ À÷¶û ÇÏ·í¹ã ÀÚ¸é ±âºÐ ÁÁ°Ô Áö¸¥´Ù,2,"['1', '¾ï', '¿¡', 'À÷', '¶û', 'ÇÏ·í¹ã', 'ÀÚ', '¸é', '±âºÐ', 'ÁÁ', '°Ô', 'Áö¸£', '?´Ù']","ÇÏ·í¹ã,"
60,¿äÁò Çã¹÷Áö ÇÓ°í ½ÍÀº ¿©ÀÚµéÀÌ žÍÄÉ ¸¹³Ä?,2,"['¿äÁò', 'Çã¹÷Áö', 'ÇÓ', '°í', '½Í', 'Àº', '¿©ÀÚ', 'µé', 'ÀÌ', 'žÍÄÉ', '¸¹', '³Ä', '?']","ÇÓ,ÇÓ°í,"
61,±×·¡¾ß ¾Æ·§µµ¸®°¡ ºÒ²ö ¼Ú´Â´Ü ¸»ÀÌ¾ß!,2,"['±×·¡¾ß', '¾Æ·§µµ¸®', '°¡', 'ºÒ²ö', '¼Ú', '´Â´Ü', '¸»', 'ÀÌ', '¾ß', '!']","¾Æ·§µµ¸®,ºÒ²ö"
62,¹è°íÇÃ ¶§ Á¥ Â¥¸Ô°í ½É½ÉÇÒ ¶§ ¹­¾î³õ°í ±«·ÓÈ÷¸é µÇÀÝ¾Æ,2,"['¹è°íÇÁ', '?', '¶§', 'Á¥', 'Â¥', '¾î', '¸Ô', '°í', '½É½É', 'ÇÏ', '?', '¶§', '¹­', '¾î', '³õ', '°í', '±«·ÓÈ÷', '¸é', 'µÇ', 'ÀÝ¾Æ']","Á¥,"
63,¾Æ´Ï ÀÌ°Ç ±×¸¸ ¸Ô°í ÀÌÁ¦ ²¿Æ©¹° ¸ÔÀ¸·¯ °¡ÀÚ,2,"['¾Æ´Ï', 'ÀÌ°Å', '?', '±×¸¸', '¸Ô', '°í', 'ÀÌÁ¦', '²¿Æ©', '¹°', '¸Ô', 'À¸·¯', '°¡', 'ÀÚ']","²¿Æ©,²¿Ãò,"
64,°Â³×µé ¶§¹®¿¡ ÁøÂ¥ Àû´çÈ÷ »¡¾Æ¼­´Â ¾È ´ëÁÖ´Â °Å ¾Æ´Ï°Ú³Ä,2,"['°Â', '³×', 'µé', '¶§¹®', '¿¡', 'ÁøÂ¥', 'Àû´çÈ÷', '»¡', '¾î¼­', '´Â', '¾È', '´ë', '¾î', 'ÁÖ', '´Â', '°Å', '¾Æ´Ï', '°Ú', '³Ä']","»¡,»¡¾Æ¼­,"
65,¹ã¿¡ ¶Ç ÇÑ¹ÙÅÁ ÇßÁö °¡½¿ °³ Å©´õ¶ó ²Ü¸À!,2,"['¹ã', '¿¡', '¶Ç', 'ÇÑ¹ÙÅÁ', 'ÇÏ', '¾ú', 'Áö', '¤»', '°¡½¿', '°³', 'Å©', '´õ¶ó', '²Ü¸À', '!']","°¡½¿,"
66,¿ª½Ã ¿ø³ªÀÎÀÇ °í¼ö ¾Æ´Ô? ¿©ÀÚµé ¸ÀÀÖ°Ô ¸Ô°í ´Ù´Ï³ë,2,"['¿ª½Ã', '¤»', '¿ø', '³ªÀÎ', 'ÀÇ', '°í¼ö', '¾Æ´Ï', '?', '?', '¿©ÀÚ', 'µé', '¸ÀÀÖ', '°Ô', '¸Ô', '°í', '´Ù´Ï', '³ë']","¿ø³ªÀÕ,"
67,¿©ÀÚ´Â ¸ö ÆÄ´Â ¾Ö °°¾Æ º¸ÀÌ°í.,2,"['¿©ÀÚ', '´Â', '¸ö', 'ÆÈ', '´Â', '¾Ö', '°°', '¾î', 'º¸ÀÌ', '°í', '.']","¸ö,ÆÈ,¸öÆÄ´Â,"
68,¸ç´À¸®´Â ´Ù ³²ÀÚµé ¾¾¹ÞÀÌÁö ÁöµéÀÌ ¹«½¼ ¿©ÀÚ ´ëÁ¢À» ¹Þ°Ú´Ù°í È¥¼ö¸¦ °¡Á®¿À·¡?,2,"['¸ç´À¸®', '´Â', '´Ù', '³²ÀÚ', 'µé', '¾¾¹ÞÀÌ', 'ÀÌ', 'Áö', 'Áö', 'µé', 'ÀÌ', '¹«½¼', '¿©ÀÚ', '´ëÁ¢', 'À»', '¹Þ', '°Ú', '´Ù°í', 'È¥¼ö', '¸¦', '°¡Á®¿À', '·¡', '?']","¾¾¹ÞÀÌ,"
69,Ã¬·³Ã³·³ »ý±ä ¾ÖµéÀÌ ¿ø·¡ Àß ¶°,2,"['Ã¬·³', 'Ã³·³', '»ý±â', '?', '¾Ö', 'µé', 'ÀÌ', '¿ø·¡', 'Àß', '¶ß', '¾î']","Ã¬·³,"
70,¿äÁò ¿ì¸® µþ¸¸ º¸¸é ¼ÒÁßÀÌ°¡ ¹ú¶± ¼±´Ù,2,"['¿äÁò', '¿ì¸®', 'µþ', '¸¸', 'º¸', '¸é', '¼ÒÁßÀÌ', '°¡', '¹ú¶±', '¼­', '?´Ù']","¼ÒÁßÀÌ,"
